CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
59155;20708;9.14;1371;1239;9234;9871;9234;59;578;5308;4917;4511;12884;1463;9458;Coudekerque-Branche
59163;20574;4.44;1758;995;9506;10506;9506;171;829;5098;7226;6326;13168;1338;9795;Croix
59172;20415;11.52;2206;1219;7805;9022;7805;33;1183;3090;7699;7153;12573;2553;7607;Denain
59178;39842;16.88;3323;2470;18149;22046;18149;306;3590;6500;25924;23976;25576;3768;16720;Douai
59183;86545;43.89;6184;5357;41630;46462;41630;1466;3364;18923;43967;40603;53427;7859;37668;Dunkerque
59271;20635;21.44;2027;850;7847;8213;7847;20;345;2893;12316;11900;12333;2171;7885;Grande-Synthe
59279;20812;12.56;1670;817;8237;8743;8237;56;449;5279;4193;3697;13083;1260;9831;Halluin
59295;21464;26.2;1332;1360;9490;10214;9490;91;632;5389;9207;8365;13055;1294;9557;Hazebrouck
59328;27425;6.16;2150;1257;12440;13376;12440;168;767;7620;7345;6288;17187;1362;13004;Lambersart
59350;236234;34.83;19858;8554;124166;141987;124166;4962;12858;34421;175931;160144;174700;21037;117720;Lille
59360;22896;6.95;2173;957;10795;11778;10795;127;855;4191;8297;7560;15524;2028;11003;Loos
59368;22214;2.84;1969;987;11391;12933;11391;363;1179;5054;9069;7999;14830;1552;11777;La Madeleine
59378;38604;14.04;2761;2170;17399;19011;17399;243;1368;10247;21879;19692;23948;1806;18326;Marcq-en-Barœul
59392;29625;18.85;2572;1828;12698;14173;12698;144;1330;5721;15383;14297;18178;3696;11569;Maubeuge
59410;21564;2.88;1930;894;8991;9765;8991;72;702;4217;4958;4428;13880;1654;9930;Mons-en-Barœul
59512;98066;13.23;11461;4201;37310;41955;37310;300;4343;12445;37959;34467;60860;10976;37004;Roubaix
59599;99165;15.19;10132;4095;40588;44926;40588;233;4104;19279;27610;24673;63114;9405;44922;Tourcoing
59606;42738;13.82;3486;2508;21785;26029;21785;654;3590;7244;32504;30134;28678;3922;18992;Valenciennes
59646;20980;6.86;1662;1222;9352;9969;9352;76;540;5227;12449;11576;12943;1068;10098;Wasquehal
59650;41015;13.44;3237;1943;16822;17458;16822;46;590;9432;7982;7105;25914;3394;19023;Wattrelos
60057;56889;33.31;5150;3000;25775;28778;25775;307;2696;8938;38668;35990;36332;5383;24697;Beauvais
60159;40453;53.1;3065;2358;19578;21652;19578;367;1705;6853;26155;23844;25780;2734;17290;Compiègne
60175;35970;11.09;4352;1302;13010;14003;13010;66;926;2535;14787;13707;22330;3631;14426;Creil
60463;21589;7.46;2067;838;8015;8563;8015;32;516;3283;5440;5036;13200;1662;8857;Nogent-sur-Oise
61001;25744;10.68;1775;1827;13408;15089;13408;128;1552;4907;17974;16544;15654;2081;10200;Alençon
62041;42337;11.63;3205;2270;21253;23912;21253;427;2231;6995;33798;31352;27517;3674;19440;Arras
62119;24983;9.46;1698;1604;12240;14183;12240;182;1760;4656;17155;15718;16172;2111;10957;Béthune
62160;40588;8.42;3218;2792;20317;23623;20317;485;2820;5980;21904;19933;25697;4387;17577;Boulogne-sur-Mer
62178;21953;16.35;1610;1565;9753;10864;9753;90;1020;3316;7958;7355;13611;2167;9110;Bruay-la-Buissière
62193;67544;33.5;5772;4220;31829;36350;31829;711;3809;14028;30931;28372;43424;7246;28956;Calais
62427;25886;20.72;2295;1597;11216;12557;11216;64;1276;5371;12339;11483;16337;2218;11408;Hénin-Beaumont
62498;32458;11.7;2560;2270;15309;17552;15309;155;2087;4045;21468;20066;20083;3530;13202;Lens
62510;30102;12.83;2426;2086;12841;13697;12841;51;803;5015;10919;10158;18858;2881;12166;Liévin
63113;147284;42.67;10603;6454;79994;90991;79994;3863;7133;24822;106576;97382;101330;11429;67938;Clermont-Ferrand
63124;20356;18.58;1132;909;9367;10036;9367;149;519;5986;9739;8633;11704;1000;8801;Cournon-d'Auvergne
64024;40310;26.93;1822;2560;21436;27458;21436;4163;1858;12023;19064;15701;23819;2202;17721;Anglet
64102;52006;21.68;3220;2903;28516;31780;28516;1426;1836;10413;33931;29103;33835;2946;24938;Bayonne
64122;25885;11.66;923;2421;14856;26085;14856;10782;446;8397;14007;10300;13679;1351;10091;Biarritz
64445;75665;31.51;4886;5039;43020;53389;43020;1581;8788;16730;51394;45408;48239;5887;33191;Pau
65440;42925;15.33;2970;3136;24693;29773;24693;760;4319;8606;27931;24701;27291;3671;17704;Tarbes
66136;118032;68.07;9489;8033;58728;73376;58728;2805;11842;23819;67666;58551;70363;10491;43560;Perpignan
67180;35448;182.59;2241;1593;16501;18355;16501;261;1592;8783;23784;21854;23451;2113;18118;Haguenau
67218;27087;22.21;1719;1245;13200;15022;13200;444;1377;6133;15908;14673;17671;1423;13399;Illkirch-Graffenstaden
67447;33993;7.63;2973;1640;15648;17329;15648;232;1448;4966;19109;17541;22152;2955;16557;Schiltigheim
67482;290576;78.26;23628;12204;139597;160220;139597;7712;12910;38411;174182;156159;199089;22944;135633;Strasbourg
68066;68294;66.57;4975;3765;32675;36052;32675;1540;1836;12344;46021;41856;43416;5172;32678;Colmar
68224;108038;22.18;10781;6027;47948;58376;47948;1093;9334;16111;55551;50346;68026;11521;45259;Mulhouse
68297;22835;16.85;1528;912;10291;11487;10291;470;724;4331;10336;9595;14839;2005;10941;Saint-Louis
69029;42442;10.3;3904;1551;18260;19648;18260;266;1122;8554;25222;23601;26726;2606;19543;Bron
69034;43355;10.45;3129;2174;20539;22696;20539;472;1683;11550;13082;11062;25836;1911;20156;Caluire-et-Cuire
69091;20672;17.34;2022;1128;8147;8972;8147;56;769;3454;6959;6300;12346;1648;8654;Givors
69123;522228;47.87;45835;20690;270043;311618;270043;16321;25254;91118;341361;297900;365746;32267;269881;Lyon
69149;26994;4.4;2320;1187;13078;14251;13078;246;926;6440;7530;6472;17427;1586;13496;Oullins
69202;22077;6.83;1291;1182;10024;10736;10024;149;561;6482;5137;4135;12384;852;9494;Sainte-Foy-lès-Lyon
69204;20971;12.92;1438;818;9065;9579;9065;110;404;5285;9236;8123;12714;936;9424;Saint-Genis-Laval
69244;22475;7.79;1761;840;10596;11491;10596;301;593;5400;6669;5528;13968;1052;10865;Tassin-la-Demi-Lune
69256;51761;20.95;6118;1668;18271;19970;18271;133;1565;6989;20709;18720;31831;4512;21426;Vaulx-en-Velin
69259;66765;15.33;8070;2369;26985;29489;26985;353;2151;9171;27286;25114;40839;6080;27819;Vénissieux
